Driver_ID,Driver_Name,Age,Gender,License_Experience_Years,Date_Joined_Fleet,Primary_Vehicle_ID,Home_Hub,trips,km,hours,vehicles_used,avg_speed,mean_trip_max_speed,overspeed_minutes,moving_minutes,harsh_horiz_minutes,yaw_minutes,z_bump_minutes,overspeed_per_100km,harsh_horiz_per_100km,yaw_per_100km,severe_overspeed_per_100km,overspeed_share,rk_overspeed,rk_harsh,rk_yaw,rk_max_speed,risk_score,risk_band,top_contributor,p33_risk,p67_risk,why
D19,Senthil Pillai,39,Male,1,2026-01-19,V19,Attibele,15,136.31,338,1,24.573333333333334,51.13333333333333,49,294,30,18,23,53.07231399031473,25.831430969662314,22.048956689481557,13.35252539234081,0.16666666666666666,100.0,93.33333333333333,100.0,83.33333333333334,95.0,Risky,overspeed minutes / 100 km,36.99999999999999,64.27777777777777,"Senthil Pillai (D19) scored 95.0/100 (Risky). Bands are fleet tertiles this week (Safe ≤ 37.0, Risky > 64.3). Largest contributor: overspeed minutes / 100 km. Exposure: 136.3 km, 15 trips. Overspeed (speed > 42.4 km/h) 53.07/100 km; harsh IMU 25.83/100 km; yaw events 22.05/100 km; mean trip max speed 51.1 km/h."
D14,Rajesh Subramaniam,31,Male,2,2026-04-09,V14,Rajajinagar,15,164.23000000000002,426,1,25.426666666666666,55.22666666666667,55,372,48,22,7,38.45353851024534,33.799739626891636,15.86405473783523,14.153189945916434,0.1478494623655914,96.66666666666667,100.0,86.66666666666667,90.0,93.66666666666667,Risky,harsh horizontal IMU spikes / 100 km,36.99999999999999,64.27777777777777,"Rajesh Subramaniam (D14) scored 93.7/100 (Risky). Bands are fleet tertiles this week (Safe ≤ 37.0, Risky > 64.3). Largest contributor: harsh horizontal IMU spikes / 100 km. Exposure: 164.2 km, 15 trips. Overspeed (speed > 42.4 km/h) 38.45/100 km; harsh IMU 33.80/100 km; yaw events 15.86/100 km; mean trip max speed 55.2 km/h."
D06,Bhavani Raj,34,Female,14,2024-12-01,V06,Electronic City,15,213.05,470,1,25.573333333333334,55.89333333333333,68,407,37,30,4,33.77496358327064,22.943710318343715,20.012987693867572,10.646535937885353,0.16707616707616707,90.0,90.0,96.66666666666667,96.66666666666667,93.0,Risky,high yaw-rate minutes / 100 km,36.99999999999999,64.27777777777777,"Bhavani Raj (D06) scored 93.0/100 (Risky). Bands are fleet tertiles this week (Safe ≤ 37.0, Risky > 64.3). Largest contributor: high yaw-rate minutes / 100 km. Exposure: 213.1 km, 15 trips. Overspeed (speed > 42.4 km/h) 33.77/100 km; harsh IMU 22.94/100 km; yaw events 20.01/100 km; mean trip max speed 55.9 km/h."
D03,Vignesh Murugan,35,Male,1,2024-02-28,V03,Bommanahalli,15,200.36,482,1,22.853333333333335,51.84666666666667,42,419,49,31,2,24.119769414554707,26.47373719519266,17.832223746314988,6.52071859442921,0.10023866348448687,83.33333333333334,96.66666666666667,93.33333333333333,86.66666666666667,89.83333333333334,Risky,harsh horizontal IMU spikes / 100 km,36.99999999999999,64.27777777777777,"Vignesh Murugan (D03) scored 89.8/100 (Risky). Bands are fleet tertiles this week (Safe ≤ 37.0, Risky > 64.3). Largest contributor: harsh horizontal IMU spikes / 100 km. Exposure: 200.4 km, 15 trips. Overspeed (speed > 42.4 km/h) 24.12/100 km; harsh IMU 26.47/100 km; yaw events 17.83/100 km; mean trip max speed 51.8 km/h."
D24,Lakshmi Iyer,32,Female,3,2025-02-19,V24,Bellandur,15,214.22,460,2,26.64,55.24666666666667,72,405,43,27,36,34.04731231698697,20.971671805596944,14.91725208182074,9.853426026711968,0.17777777777777778,93.33333333333333,86.66666666666667,76.66666666666667,93.33333333333333,87.5,Risky,overspeed minutes / 100 km,36.99999999999999,64.27777777777777,"Lakshmi Iyer (D24) scored 87.5/100 (Risky). Bands are fleet tertiles this week (Safe ≤ 37.0, Risky > 64.3). Largest contributor: overspeed minutes / 100 km. Exposure: 214.2 km, 15 trips. Overspeed (speed > 42.4 km/h) 34.05/100 km; harsh IMU 20.97/100 km; yaw events 14.92/100 km; mean trip max speed 55.2 km/h."
D23,Kavya Pillai,32,Male,11,2025-11-04,V23,Yeshwanthpur,15,197.79,457,1,24.720000000000002,57.71333333333334,56,398,44,25,32,29.311752289309037,20.41187305589217,13.619122368149856,10.810547012271444,0.1407035175879397,86.66666666666667,83.33333333333334,66.66666666666666,100.0,83.5,Risky,mean trip max speed,36.99999999999999,64.27777777777777,"Kavya Pillai (D23) scored 83.5/100 (Risky). Bands are fleet tertiles this week (Safe ≤ 37.0, Risky > 64.3). Largest contributor: mean trip max speed. Exposure: 197.8 km, 15 trips. Overspeed (speed > 42.4 km/h) 29.31/100 km; harsh IMU 20.41/100 km; yaw events 13.62/100 km; mean trip max speed 57.7 km/h."
D12,Praveen Murugan,44,Female,7,2024-10-31,V12,HSR Layout,15,168.85,360,1,24.82,49.8,31,320,28,22,19,21.500333576294114,17.928703249202677,14.642559957682701,5.2277962210649225,0.096875,80.0,80.0,73.33333333333333,80.0,78.33333333333333,Risky,overspeed minutes / 100 km,36.99999999999999,64.27777777777777,"Praveen Murugan (D12) scored 78.3/100 (Risky). Bands are fleet tertiles this week (Safe ≤ 37.0, Risky > 64.3). Largest contributor: overspeed minutes / 100 km. Exposure: 168.8 km, 15 trips. Overspeed (speed > 42.4 km/h) 21.50/100 km; harsh IMU 17.93/100 km; yaw events 14.64/100 km; mean trip max speed 49.8 km/h."
D01,Meena Iyer,36,Male,7,2026-04-24,V01,Rajajinagar,15,185.37,427,1,25.366666666666667,42.093333333333334,15,405,27,27,40,10.128462264268718,15.512635515166528,15.221026423599035,1.3333333333333333,0.037037037037037035,73.33333333333333,76.66666666666667,80.0,66.66666666666666,74.5,Risky,high yaw-rate minutes / 100 km,36.99999999999999,64.27777777777777,"Meena Iyer (D01) scored 74.5/100 (Risky). Bands are fleet tertiles this week (Safe ≤ 37.0, Risky > 64.3). Largest contributor: high yaw-rate minutes / 100 km. Exposure: 185.4 km, 15 trips. Overspeed (speed > 42.4 km/h) 10.13/100 km; harsh IMU 15.51/100 km; yaw events 15.22/100 km; mean trip max speed 42.1 km/h."
D17,Arun Subramaniam,32,Male,11,2025-10-06,V17,Electronic City,15,225.58,438,1,25.259999999999998,43.086666666666666,18,409,20,22,6,9.695790156949952,10.300124619308232,11.371369327275152,0.0,0.044009779951100246,70.0,63.33333333333333,56.666666666666664,76.66666666666667,66.33333333333333,Risky,mean trip max speed,36.99999999999999,64.27777777777777,"Arun Subramaniam (D17) scored 66.3/100 (Risky). Bands are fleet tertiles this week (Safe ≤ 37.0, Risky > 64.3). Largest contributor: mean trip max speed. Exposure: 225.6 km, 15 trips. Overspeed (speed > 42.4 km/h) 9.70/100 km; harsh IMU 10.30/100 km; yaw events 11.37/100 km; mean trip max speed 43.1 km/h."
D21,Vignesh Raj,28,Male,13,2025-06-08,V21,MG Road,15,201.79,472,3,24.826666666666664,42.86666666666667,21,438,15,27,9,10.848128584393965,8.44972251067366,11.989760033091699,0.5884083553986467,0.04794520547945205,76.66666666666667,50.0,60.0,73.33333333333333,65.16666666666667,Risky,overspeed minutes / 100 km,36.99999999999999,64.27777777777777,"Vignesh Raj (D21) scored 65.2/100 (Risky). Bands are fleet tertiles this week (Safe ≤ 37.0, Risky > 64.3). Largest contributor: overspeed minutes / 100 km. Exposure: 201.8 km, 15 trips. Overspeed (speed > 42.4 km/h) 10.85/100 km; harsh IMU 8.45/100 km; yaw events 11.99/100 km; mean trip max speed 42.9 km/h."
